title,author,year,pages
Kaoru Hana wa Rinto Saku vol.17,Mikami Saka,2025,192
Tokidoki Bosotto Russia-go De Dereru Tonari No Aalya-san vol.6,Tenacity Saho,2025,144
Putin: Innenansichten Der Macht,Hubert Seipel,2020,384
Sans famille,Hector Malot,1878,635
Tình Yêu Vị Kem Ý,Jenna Evans Welch,2019,304
Thép đã tôi thế đấy!,Nikolai Alekseyevich Ostrovsky,1936,777
Đại Việt sử ký toàn thư,Nhiều tác giả,2022,1768
Dế Mèn phiêu lưu ký,Tô Hoài,1941,255
Số đỏ,Vũ Trọng Phụng,2022,243
Cát bụi chân ai,Tô Hoài,1980,376
